Date,Open,High,Low,Close,Adj Close,Volume,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease
2020/3/11,640.200012,653.580017,613,634.22998,634.22998,13322500,203,51,0,0,34,617,128,39938,8361,0,0,17540,4606,56,181357,39258
2020/3/12,580.890015,594.5,546.25,560.549988,560.549988,18909100,273,70,0,0,44,1042,172,51743,11805,0,0,23640,6100,56,230912,49555
2020/3/13,595,607.570007,502,546.619995,546.619995,22640300,335,62,0,0,316,1492,488,67803,16060,0,0,30580,6940,56,283160,52248
2020/3/16,469.5,494.869995,442.170013,445.070007,445.070007,20489500,480,145,0,0,139,2173,627,80231,12428,0,0,39808,9228,56,335483,52323
2020/3/17,440.01001,471.850006,396,430.200012,430.200012,23994600,582,102,0,0,190,2812,817,101340,21109,0,0,50998,11190,56,392506,57023
2020/3/18,389,404.859985,350.51001,361.220001,361.220001,23786200,817,235,0,0,261,3938,1078,135287,33947,0,0,61894,10896,56,479351,86845
2020/3/19,374.700012,452,358.459991,427.640015,427.640015,30195500,1058,241,74,0,873,5140,1951,168293,33006,0,167,74551,12657,56,561780,82429
2020/3/20,438.200012,477,425.790009,427.529999,427.529999,28285500,1371,313,91,1299,655,7805,2606,210652,42359,0,258,92143,17592,56,668725,106945
2020/3/23,433.600006,442,410.5,434.290009,434.290009,16454500,1782,411,124,1792,777,10887,3383,255808,45156,0,293,111358,19215,56,769985,101260
2020/3/24,477.299988,513.690002,474,505,505,22895200,2332,550,140,2174,682,12393,4065,324271,68463,0,390,131143,19785,56,881415,111430
2020/3/25,545.25,557,511.109985,539.25,539.25,21222700,2838,506,156,2456,559,14055,4624,366103,41832,0,433,150826,19683,56,968389,86974
2020/3/26,547.390015,560,512.25,528.159973,528.159973,17380700,3422,584,187,3087,584,15892,5208,416268,50165,0,449,171965,21139,56,1068981,100592
2020/3/27,505,525.799988,494.029999,514.359985,514.359985,14377400,4331,909,230,3487,1492,18155,6700,460602,44334,0,506,196965,25000,56,1183548,114567
2020/3/30,510.26001,516.650024,491.230011,502.130005,502.130005,11998100,5337,1006,256,3937,1302,20906,8002,505283,44681,32,561,223169,26204,56,1306569,123021
2020/3/31,501.25,542.960022,497,524,524,17771500,6512,1175,305,4513,1320,22995,9322,556688,51405,32,576,251304,28135,56,1437715,131146
2020/4/1,504,513.950012,475.100006,481.559998,481.559998,13353200,7800,1288,335,4928,1189,25723,10511,611448,54760,39,623,283139,31835,56,1580122,142407
2020/4/2,481.029999,494.26001,446.399994,454.470001,454.470001,19858400,9278,1478,403,5500,1732,30456,12243,754973,143525,39,656,316261,33122,56,1811237,231115
2020/4/3,509.5,515.48999,468.390015,480.01001,480.01001,22562100,10618,1340,609,5811,1131,32180,13374,788594,33621,39,650,342104,25843,56,1940649,129412
2020/4/6,511.200012,521,497.959991,516.23999,516.23999,14901800,11932,1314,663,7079,883,36159,14257,858440,69846,39,2961,370364,28260,56,2078383,137734
2020/4/7,545,565,532.340027,545.450012,545.450012,17919800,13974,2042,738,9978,370,43849,14627,937451,79011,43,4047,400780,30416,56,2248139,169756
2020/4/8,554.200012,557.210022,533.330017,548.840027,548.840027,12656000,15973,1999,862,10276,1332,45359,15959,1005485,68034,39,4142,431744,30964,56,2413733,165594
2020/4/9,562.090027,575.179993,557.109985,573,573,13650000,18027,2054,918,12445,965,51323,16924,1088216,82731,39,5798,466736,34992,56,2584745,171012
